#rank	gene	heat_score
1	SGCA	1.708556e-04
2	SGCG	1.592317e-04
3	MYOM1	1.556790e-04
4	RANGRF	1.462719e-04
5	GAPDH	1.450195e-04
6	SNTA1	1.449116e-04
7	LMOD3	1.405484e-04
8	TRDN	1.387518e-04
9	KCNJ2	1.386510e-04
10	HCN4	1.381809e-04
11	DYSF	1.377909e-04
12	CKM	1.374583e-04
13	KCNE2	1.371085e-04
14	ACTB	1.358333e-04
15	KLHL40	1.324642e-04
16	MB	1.319211e-04
17	KCNE5	1.308321e-04
18	ATP2A2	1.301746e-04
19	INS	1.300118e-04
20	MYOZ1	1.299778e-04
21	CTF1	1.295630e-04
22	ALB	1.288509e-04
23	XIRP1	1.276973e-04
24	PXDN	1.275547e-04
25	KCNJ8	1.272174e-04
26	PYGM	1.269940e-04
27	CTNNA3	1.269639e-04
28	PXDNL	1.267118e-04
29	GPD1L	1.266112e-04
30	ENSP00000484342	1.262613e-04
31	CALM3	1.261738e-04
32	PHKA1	1.255181e-04
33	TNNT3	1.250281e-04
34	NRAP	1.250276e-04
35	CASQ1	1.246663e-04
36	PPARGC1A	1.241881e-04
37	TNNT1	1.236587e-04
38	PPARG	1.232586e-04
39	GJA5	1.231929e-04
40	LMOD2	1.223120e-04
41	TP53	1.221780e-04
42	KCNE3	1.221608e-04
43	CALML5	1.216131e-04
44	CALML3	1.211106e-04
45	MYH2	1.208680e-04
46	ANK2	1.207985e-04
47	CYCS	1.207721e-04
48	OBSCN	1.205357e-04
49	CAV1	1.204556e-04
50	CAPN3	1.203148e-04
51	KCNJ5	1.202443e-04
52	DOK7	1.201842e-04
53	SYNPO2L	1.200893e-04
54	SLN	1.196871e-04
55	ACTN3	1.195250e-04
56	TNNI1	1.192750e-04
57	TAFAZZIN	1.188194e-04
58	HIF1A	1.184434e-04
59	TGFB3	1.183014e-04
60	TRPM4	1.181545e-04
61	CALML4	1.181544e-04
62	ACO2	1.181367e-04
63	MFN2	1.180514e-04
64	MYC	1.180280e-04
65	CALML6	1.179262e-04
66	CACNB2	1.176342e-04
67	PPARA	1.170857e-04
68	ILK	1.169677e-04
69	PGAM2	1.168716e-04
70	AMPD1	1.163331e-04
71	SCN4A	1.160386e-04
72	ATP2A1	1.156610e-04
73	ENSP00000442600	1.154760e-04
74	VDAC1	1.153583e-04
75	PLEC	1.147457e-04
76	CKMT2	1.146540e-04
77	COX6A2	1.143286e-04
78	SCN4B	1.141376e-04
79	SOD1	1.140579e-04
80	TBX20	1.139479e-04
81	SRL	1.138790e-04
82	GJA1	1.137159e-04
83	MYBPC2	1.137096e-04
84	SIRT1	1.136986e-04
85	AGK	1.136154e-04
86	FBN1	1.134829e-04
87	FLNA	1.128529e-04
88	TBX5	1.127874e-04
89	SDHB	1.120323e-04
90	SRC	1.120001e-04
91	CASP3	1.118681e-04
92	MYOD1	1.116693e-04
93	HSP90AB1	1.116169e-04
94	COL3A1	1.112117e-04
95	FN1	1.112050e-04
96	MYF6	1.110984e-04
97	PRKACA	1.108464e-04
98	SLC2A4	1.105407e-04
99	CACNA1S	1.104868e-04
100	GSK3B	1.104243e-04
101	MYBPC1	1.102814e-04
102	PRKACG	1.099531e-04
103	UNC45B	1.098879e-04
104	ACTA2	1.097460e-04
105	DNM1L	1.096833e-04
106	MYLK	1.096038e-04
107	HSP90AA1	1.093399e-04
108	COL1A1	1.093238e-04
109	PRKACB	1.091610e-04
110	SMPX	1.091310e-04
111	KCNA5	1.090491e-04
112	PDK4	1.090391e-04
113	HSPA4	1.090376e-04
114	MYH11	1.087978e-04
115	ITGB1BP2	1.087393e-04
116	ENO3	1.083053e-04
117	MSTN	1.081197e-04
118	ESR1	1.080579e-04
119	SCN10A	1.077443e-04
120	COL6A1	1.076863e-04
121	SQSTM1	1.076299e-04
122	JUN	1.075613e-04
123	PRKG1	1.074273e-04
124	RHOA	1.073597e-04
125	BCL2	1.071615e-04
126	TGFB1	1.068080e-04
127	POTEF	1.068043e-04
128	XIRP2	1.067703e-04
129	SLC8A1	1.067655e-04
130	HSPB3	1.067172e-04
131	CRELD1	1.066545e-04
132	HSPA8	1.066199e-04
133	ACO1	1.066097e-04
134	ENSP00000499797	1.061461e-04
135	APOE	1.060615e-04
136	COX4I1	1.059222e-04
137	CLCN1	1.058885e-04
138	COL6A2	1.057922e-04
139	MYH1	1.057198e-04
140	PGK1	1.056109e-04
141	GATA4	1.054758e-04
142	ACE	1.054682e-04
143	POPDC2	1.053165e-04
144	ENSP00000445175	1.047371e-04
145	SDHC	1.046928e-04
146	SLC2A1	1.045511e-04
147	COL6A3	1.044158e-04
148	MYL4	1.043998e-04
149	ENSP00000485527	1.042990e-04
150	PLEKHM2	1.042477e-04
151	CACNA2D1	1.041760e-04
152	ECHS1	1.041671e-04
153	HSPA5	1.041604e-04
154	CBS	1.039868e-04
155	MYL1	1.038955e-04
156	ANK1	1.038621e-04
157	TNNI2	1.037957e-04
158	PTEN	1.036456e-04
159	MYH3	1.034797e-04
160	IGF1	1.033976e-04
161	HSPB8	1.032582e-04
162	FOS	1.032392e-04
163	AKAP9	1.030719e-04
164	TMOD4	1.029808e-04
165	MTOR	1.029447e-04
166	MYOG	1.025907e-04
167	NFKB1	1.025412e-04
168	EGF	1.023581e-04
169	MTM1	1.023479e-04
170	MYL7	1.023015e-04
171	ANK3	1.022905e-04
172	GOT2	1.022139e-04
173	REN	1.021997e-04
174	SCN3B	1.021762e-04
175	PKM	1.021618e-04
176	ENSP00000483640	1.020736e-04
177	GPT	1.020079e-04
178	HSPB2	1.018785e-04
179	TMOD1	1.018263e-04
180	LOX	1.017421e-04
181	APOB	1.017348e-04
182	DNM2	1.015716e-04
183	KCND3	1.015582e-04
184	MYH8	1.013745e-04
185	MYL11	1.012235e-04
186	TNNC2	1.012116e-04
187	PPP1R3A	1.010909e-04
188	TXN	1.010529e-04
189	SYNPO2	1.010446e-04
190	MYOM2	1.010262e-04
191	DMPK	1.008725e-04
192	HTT	1.008301e-04
193	ACAA2	1.008244e-04
194	GPX3	1.008243e-04
195	CMYA5	1.006949e-04
196	ACOX1	1.005731e-04
197	HRC	1.005259e-04
198	FABP3	1.004553e-04
199	IDH1	1.004274e-04
200	TFAM	1.003226e-04
201	SRF	1.002435e-04
202	COL1A2	1.000722e-04
203	MFN1	9.997190e-05
204	MDH2	9.991215e-05
205	UQCRC2	9.975516e-05
206	AGRN	9.973252e-05
207	MEF2C	9.965432e-05
208	ENSP00000499717	9.957525e-05
209	STAC3	9.936934e-05
210	MYL9	9.927324e-05
211	CCN2	9.915039e-05
212	ETFDH	9.909037e-05
213	PYGB	9.896848e-05
214	HSPA9	9.875484e-05
215	CANX	9.875114e-05
216	HMGCR	9.865260e-05
217	DNAJB6	9.857375e-05
218	CFTR	9.822082e-05
219	ENSP00000497733	9.819020e-05
220	CDKN2A	9.810657e-05
221	H6PD	9.790866e-05
222	IGF1R	9.789242e-05
223	GFAP	9.782949e-05
224	POSTN	9.780798e-05
225	RAPSN	9.779692e-05
226	TPI1	9.767245e-05
227	ENSP00000369134	9.761433e-05
228	CALR	9.754051e-05
229	PFKM	9.751313e-05
230	VWF	9.744929e-05
231	BIN1	9.720605e-05
232	MMP9	9.710047e-05
