#rank	DIAMOnD_node	p_hyper
1	NDUFA4	1.1613932836863285e-13
2	COX4I1	4.664903936112594e-14
3	NDUFS3	4.459189979481234e-13
4	NDUFS8	5.936260837900226e-13
5	NDUFV1	2.9950589625981694e-13
6	NDUFS4	8.08087958161761e-14
7	NDUFA13	2.3342298704379813e-14
8	NDUFS6	7.0872006787249566e-15
9	NDUFS5	1.381683309967816e-15
10	HSCB	8.447998901723547e-16
11	NDUFS7	2.640449292836379e-16
12	NDUFA9	1.0079169378734295e-16
13	NDUFB10	1.5376878650826935e-17
14	NDUFA6	2.1999319824404053e-18
15	NDUFS1	3.603954827972496e-19
16	NDUFA1	1.5622584123049853e-19
17	NDUFA8	4.7865379488496777e-20
18	NDUFA7	5.784926747286648e-21
19	NDUFV3	5.972098559818723e-22
20	NDUFB4	5.031802641800096e-23
21	NDUFB6	1.9796663722046556e-24
22	NDUFB3	1.0258220224179878e-24
23	NDUFA12	2.2198744530929316e-25
24	ND6	9.855271451346256e-27
25	NDUFB5	2.655752077576649e-26
26	NDUFA11	1.2255940281411998e-26
27	NDUFB7	9.617355273411151e-26
28	NDUFA2	8.45539228335265e-26
29	NDUFB9	9.687891481664717e-27
30	NDUFC2	4.032269792642367e-28
31	NDUFB1	7.852498447045282e-27
32	DNAJC30	2.472767451570141e-27
33	NDUFA5	8.838864360791796e-28
34	NDUFA10	8.244011354368562e-29
35	C15orf48	1.0717086753573908e-27
36	PARL	1.3219881940812997e-23
37	ND4	1.8607362426099633e-23
38	TIMMDC1	2.18367425201631e-23
39	SLC25A51	1.7678618829734227e-23
40	ECSIT	1.133022568473997e-23
41	ND1	2.6731679680351407e-24
42	ND5	3.746608117769457e-23
43	IMMP1L	5.849759658581236e-23
44	NDUFAF4	6.826094238725116e-24
45	MCUR1	1.546966266585326e-23
46	CCDC90B	2.3783564633229997e-23
47	ICT1	1.7673228706698246e-22
48	NDUFAF1	6.705788253177275e-23
49	SLC35A3	2.1859950642388662e-23
50	C17orf80	4.0654362176918354e-23
51	GFM1	2.5466751297843977e-23
52	TFAM	4.233627294707409e-24
53	C21orf33	8.93528757335753e-25
54	HINT2	3.7124050262052483e-25
55	MDH2	1.0266245307476157e-25
56	MTIF2	2.4151532393463353e-26
57	NDUFAF2	2.4170249246078744e-27
58	VWA8	1.2720468427492052e-27
59	FASTKD5	5.041010648060391e-28
60	TACO1	1.088858723871591e-28
61	PMPCA	2.4455189865295068e-29
62	C6orf203	7.091639623443275e-30
63	MTRF1L	1.1871767892282285e-30
64	CLPP	4.064686010338839e-31
65	MRPS26	1.7817330230698705e-31
66	SLIRP	2.783867499113404e-32
67	OGDH	7.341406817650078e-33
68	LRPPRC	2.3877370972179734e-33
69	LONP1	3.923770747356501e-34
70	ATP5F1	9.51596964392997e-35
71	C8orf82	3.468937413668459e-35
72	PDK1	1.3709402615148593e-35
73	TRMT61B	7.236243420258869e-36
74	AUH	5.51156979182861e-36
75	MRPS36	2.7097187428003173e-37
76	AARS2	1.2397438735622885e-37
77	ACOT1	1.4190978111305818e-38
78	MRRF	1.0844383064268796e-38
79	TRUB2	7.827796715379431e-39
80	VARS2	5.031722579255413e-40
81	PDHA1	2.5255372741568066e-39
82	ACOT2	1.0785310085919543e-40
83	MTRF1	1.8385839001050956e-41
84	FASTKD2	1.586726135880724e-42
85	MMAB	9.506556925402474e-43
86	MTG2	1.4040596751939033e-43
87	MTERF3	1.9917922423382827e-43
88	PYCR2	1.4992122415313388e-43
89	METTL15	1.4142846127173638e-44
90	TIMM44	4.723703102612902e-44
91	TBRG4	1.0887155659681966e-44
92	PPIF	3.27357028004798e-45
93	ETFB	5.208495743639023e-45
94	METTL17	1.5093671341866707e-45
95	TEFM	9.11374936809231e-46
96	ATPAF1	5.492097838849822e-47
97	GRSF1	2.5016797017608394e-47
98	LETM1	7.576282531605959e-48
99	COX8A	1.3912775602462487e-48
100	BCS1L	7.581619667234647e-49
101	SSBP1	2.691402501335301e-49
102	CARS2	7.896854269521553e-50
103	GLS	1.1074272453796296e-49
104	ETFA	1.6011904734847657e-50
105	PMPCB	4.1401482760666125e-51
106	AK4	9.8732179241513e-52
107	CCDC109B	1.554895346119943e-50
108	NFS1	2.927740512122077e-51
109	IMMP2L	1.9146241989442795e-51
110	AFG3L2	3.0156267940003995e-52
111	EXD2	3.0901226257763884e-53
112	IARS2	4.405931110938731e-53
113	C12orf65	1.463667526761512e-53
114	GATB	2.910024084037631e-54
115	MRM1	3.342028005250587e-54
116	MRPS6	1.5601311157155475e-54
117	ECHS1	8.618082569596634e-54
118	RPUSD4	5.637590099813973e-55
119	MRPL11	3.8888770379697144e-55
120	NGRN	3.2887642342764824e-56
121	GUF1	9.408911507215828e-58
122	NME4	3.3197950113842675e-57
123	RPUSD3	2.9948680770850253e-57
124	MRPS24	2.5183606423536574e-57
125	MTIF3	4.681278167539128e-58
126	MRPS2	1.8675559704952578e-58
127	MRPS16	2.5694775571206217e-58
128	DDX28	1.8304438066121572e-58
129	MRPS12	7.511343211489561e-59
130	PYCR1	2.0479092962096724e-59
131	ELAC2	1.3208531723978126e-60
132	MRPL21	9.844060324183057e-61
133	LARS2	1.3846159840881202e-59
134	TRMT10C	2.2105040692599324e-59
135	DHX30	1.9623323699069821e-59
136	MRPS28	2.561408282133814e-60
137	TRAP1	4.21491942420616e-61
138	MRPS22	1.1957162730324321e-61
139	OTC	3.021721485731057e-62
140	MRPS31	5.970258291766872e-63
141	MRPS17	2.2538223486776683e-62
142	MRPS5	2.2146151904490374e-63
143	TUFM	6.198403181557554e-64
144	MRPS35	6.188227100215144e-65
145	MRPS14	8.098499672902454e-66
146	GFM2	5.2320166507027105e-67
147	MRPS10	1.1362926321814861e-65
148	CRYZ	1.0115819065405816e-66
149	MRPS34	8.659732163751313e-68
150	MRPS27	3.657578119034397e-68
151	MRPS25	3.198062608410145e-69
152	MRPS33	1.4859964730213608e-70
153	MRPS18B	2.8870162926842226e-71
154	MRPS9	2.510374695992213e-72
155	MTG1	1.487959616063687e-73
156	MRPS23	8.803654851154625e-74
157	MRPS7	4.340692129443789e-74
158	DAP3	4.1923587322783456e-75
159	MTFMT	1.8640185335696242e-75
160	PTCD3	1.959188643911938e-75
161	ERAL1	6.918886175404449e-76
162	FASTKD3	2.636360016372238e-77
163	DNAJC15	2.0483094322696745e-73
164	MRPL44	8.416288325567383e-68
165	MRPL43	3.054229849300963e-69
166	RMND1	1.1711612505779603e-68
167	MRPL37	1.8007097582476504e-67
168	MRPS18C	2.513279701464202e-67
169	MRPL45	3.2055754972496875e-67
170	MRPL50	2.042160279972875e-68
171	CHCHD1	7.604272596400902e-68
172	MRPL41	5.6367588784557415e-68
173	MRPL20	2.741842975428983e-68
174	MRPL46	3.633089588759733e-68
175	MRPL24	4.4173729882801343e-66
176	MRPL12	1.1678514148736556e-66
177	PREPL	6.340802684957213e-67
178	RHOG	1.0428629747129973e-66
179	MCU	5.654892759736472e-68
180	MRPL4	3.6340112523752872e-68
181	DNAJA3	2.02532866989952e-68
182	DLST	5.500186837719008e-68
183	MRPL49	3.1661682065616554e-68
184	MRPL2	1.5523733678363396e-69
185	MRPL13	2.2036927084113515e-70
186	MRPL19	3.375022263274769e-71
187	MRPL53	1.0489060530483058e-71
188	MRPS30	1.795882672440604e-72
189	MRPL9	1.2586102050282122e-72
190	MRPL10	1.2873447712118452e-73
191	MRPL28	1.3357717146469506e-74
192	MRPL42	6.94860729789427e-76
193	MRPL47	7.030945794424796e-76
194	MRPL15	3.234732440731768e-76
195	MRPL27	1.7682737647827374e-77
196	MRPL39	1.5482951702882946e-77
197	MRPL23	1.1585740791987663e-77
198	MRPL40	5.419513874889289e-79
199	MRPL48	2.752110517764992e-80
200	MRPL3	4.6107978166308494e-77
