drug_name,gene_name
DRONEDARONE HYDROCHLORIDE,"['HCN4', 'KCNJ2']"
ALBUMIN HUMAN-KJDA,['ALB']
AMIODARONE HYDROCHLORIDE,['KCNE2']
AMODIAQUINE HYDROCHLORIDE,['ALB']
ACETAZOLAMIDE,['GAPDH']
BRINZOLAMIDE,['GAPDH']
CELECOXIB,['ATP2A2']
CYCLOPHOSPHAMIDE ANHYDROUS,['ACTB']
CHLORTHALIDONE,['GAPDH']
DIAZEPAM,['ALB']
DIAZOXIDE,['KCNJ8']
DICHLORPHENAMIDE,['GAPDH']
DEFEROXAMINE,['GAPDH']
DICLOFENAC SODIUM,['ALB']
DORZOLAMIDE,['GAPDH']
EPINEPHRINE,['GAPDH']
ESTRADIOL VALERATE,['GAPDH']
ETHINYL ESTRADIOL,['ACTB']
ETHOXZOLAMIDE,['GAPDH']
FLUCONAZOLE,['ALB']
GADOBENATE DIMEGLUMINE,['ALB']
GADOFOSVESET TRISODIUM,['ALB']
GLYBURIDE,['KCNJ8']
HISTAMINE,['GAPDH']
HISTIDINE,['GAPDH']
INSULIN DEGLUDEC,['INS']
INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,['INS']
INSULIN SUSP PROTAMINE ZINC BEEF/PORK,['INS']
INSULIN ZINC SUSP RECOMBINANT HUMAN,['INS']
INULIN,['INS']
IVABRADINE,['HCN4']
IVABRADINE HYDROCHLORIDE,['HCN4']
METHAZOLAMIDE,['GAPDH']
METHOCARBAMOL,['GAPDH']
MIFEPRISTONE,['PYGM']
MINOXIDIL,['KCNJ8']
NAPROXEN SODIUM,['ALB']
NORGESTIMATE,['ATP2A2']
OLMESARTAN MEDOXOMIL,['ALB']
OXYPHENBUTAZONE,['ALB']
PHENYLBUTAZONE,['ALB']
PYROGALLOL,['ALB']
RALTITREXED,['ALB']
SELENIUM,['GAPDH']
SODIUM CHLORIDE,['CKM']
SODIUM DODECYL SULFATE,['ALB']
SULPIRIDE,['GAPDH']
TAMOXIFEN,['GAPDH']
THIAMYLAL,['KCNJ8']
TOLBUTAMIDE,['KCNJ8']
TOPIRAMATE,['GAPDH']
WARFARIN,['ALB']
ZONISAMIDE,['GAPDH']
