#rank	gene	heat_score
1	SPEM1	5.756921e-05
2	HSPB2	5.506996e-05
3	ZC3H12B	4.936708e-05
4	MC5R	4.767355e-05
5	KCNE2	4.642696e-05
6	GSTM1	4.487791e-05
7	CFTR	4.486492e-05
8	MST1	4.221725e-05
9	TRIM67	4.208813e-05
10	RSPH6A	4.031412e-05
11	ABCC8	3.823864e-05
12	HRH1	3.769656e-05
13	MYOM2	3.719626e-05
14	ANKRD2	3.681850e-05
15	DYSF	3.666650e-05
16	CEL	3.607909e-05
17	C6orf226	3.599530e-05
18	CUL3	3.516061e-05
19	CARD6	3.499801e-05
20	HSCB	3.484830e-05
21	NRAP	3.483215e-05
22	PARK2	3.483150e-05
23	TRIM55	3.429254e-05
24	PLEKHA4	3.428926e-05
25	TNNI1	3.394880e-05
26	FHL1	3.392683e-05
27	RPA2	3.359579e-05
28	NPR2	3.329054e-05
29	RPA1	3.278598e-05
30	PRNP	3.240423e-05
31	PTGER1	3.218864e-05
32	OR7A5	3.172183e-05
33	SDHB	3.168398e-05
34	KCNK12	3.156224e-05
35	HSPA8	3.134576e-05
36	SCN4B	3.124820e-05
37	CACNB3	3.124100e-05
38	RIT2	3.123302e-05
39	MYL5	3.094041e-05
40	COX4I1	3.061440e-05
41	LILRA5	3.047879e-05
42	PKD2L1	3.046205e-05
43	SEC22C	3.045685e-05
44	DUX1	3.039628e-05
45	MGP	3.020084e-05
46	RPA3	3.019646e-05
47	ACTN1	3.004149e-05
48	ZRANB1	2.957347e-05
49	NPR1	2.937510e-05
50	POP4	2.933633e-05
51	RAF1	2.920923e-05
52	TSPAN33	2.898994e-05
53	MYC	2.897971e-05
54	NDUFA4	2.891252e-05
55	NCF1	2.873689e-05
56	ELAVL1	2.841461e-05
57	TMEM236	2.838398e-05
58	EP300	2.832161e-05
59	LY9	2.831899e-05
60	TNNC1	2.829116e-05
61	HRH3	2.815206e-05
62	PPIAP11	2.814957e-05
63	XPO7	2.807400e-05
64	YWHAQ	2.799270e-05
65	KIAA1324	2.777822e-05
66	HSPA1A	2.773355e-05
67	SRC	2.772659e-05
68	ADCY2	2.762334e-05
69	MC3R	2.757419e-05
70	MYD88	2.754939e-05
71	ACTB	2.726548e-05
72	IL4R	2.724552e-05
73	MARCH5	2.722792e-05
74	TGOLN2	2.720738e-05
75	KCNA10	2.714097e-05
76	ALB	2.697255e-05
77	TP53	2.692917e-05
78	HSP90AA1	2.692245e-05
79	ESR2	2.690959e-05
80	AGR2	2.689150e-05
81	COPS5	2.686647e-05
82	KIAA1429	2.686165e-05
83	ABHD11	2.684566e-05
84	EMR4P	2.675535e-05
85	AK4	2.675364e-05
86	CUL4A	2.674828e-05
87	NPR3	2.660252e-05
88	HAO1	2.659293e-05
89	ACTN3	2.657960e-05
90	SNTA1	2.657094e-05
91	COQ9	2.642137e-05
92	ABCA9	2.635117e-05
93	NHLRC1	2.599788e-05
94	ACAA2	2.588350e-05
95	MYBPC1	2.579548e-05
96	NRN1	2.577436e-05
97	GTF2H2C_2	2.577079e-05
98	TULP3	2.575247e-05
99	NDUFAF5	2.574843e-05
