Gene,Score
gene,heat_score
SGCA,1.708556e-04
SGCG,1.592317e-04
MYOM1,1.556790e-04
RANGRF,1.462719e-04
GAPDH,1.450195e-04
SNTA1,1.449116e-04
LMOD3,1.405484e-04
TRDN,1.387518e-04
KCNJ2,1.386510e-04
HCN4,1.381809e-04
DYSF,1.377909e-04
CKM,1.374583e-04
KCNE2,1.371085e-04
ACTB,1.358333e-04
KLHL40,1.324642e-04
MB,1.319211e-04
KCNE5,1.308321e-04
ATP2A2,1.301746e-04
INS,1.300118e-04
MYOZ1,1.299778e-04
CTF1,1.295630e-04
ALB,1.288509e-04
XIRP1,1.276973e-04
PXDN,1.275547e-04
KCNJ8,1.272174e-04
PYGM,1.269940e-04
CTNNA3,1.269639e-04
PXDNL,1.267118e-04
GPD1L,1.266112e-04
ENSP00000484342,1.262613e-04
CALM3,1.261738e-04
PHKA1,1.255181e-04
TNNT3,1.250281e-04
NRAP,1.250276e-04
CASQ1,1.246663e-04
PPARGC1A,1.241881e-04
TNNT1,1.236587e-04
PPARG,1.232586e-04
GJA5,1.231929e-04
LMOD2,1.223120e-04
TP53,1.221780e-04
KCNE3,1.221608e-04
CALML5,1.216131e-04
CALML3,1.211106e-04
MYH2,1.208680e-04
ANK2,1.207985e-04
CYCS,1.207721e-04
OBSCN,1.205357e-04
CAV1,1.204556e-04
CAPN3,1.203148e-04
KCNJ5,1.202443e-04
DOK7,1.201842e-04
SYNPO2L,1.200893e-04
SLN,1.196871e-04
ACTN3,1.195250e-04
TNNI1,1.192750e-04
TAFAZZIN,1.188194e-04
HIF1A,1.184434e-04
TGFB3,1.183014e-04
TRPM4,1.181545e-04
CALML4,1.181544e-04
ACO2,1.181367e-04
MFN2,1.180514e-04
MYC,1.180280e-04
CALML6,1.179262e-04
CACNB2,1.176342e-04
PPARA,1.170857e-04
ILK,1.169677e-04
PGAM2,1.168716e-04
AMPD1,1.163331e-04
SCN4A,1.160386e-04
ATP2A1,1.156610e-04
ENSP00000442600,1.154760e-04
VDAC1,1.153583e-04
PLEC,1.147457e-04
CKMT2,1.146540e-04
COX6A2,1.143286e-04
SCN4B,1.141376e-04
SOD1,1.140579e-04
TBX20,1.139479e-04
SRL,1.138790e-04
GJA1,1.137159e-04
MYBPC2,1.137096e-04
SIRT1,1.136986e-04
AGK,1.136154e-04
FBN1,1.134829e-04
FLNA,1.128529e-04
TBX5,1.127874e-04
SDHB,1.120323e-04
SRC,1.120001e-04
CASP3,1.118681e-04
MYOD1,1.116693e-04
HSP90AB1,1.116169e-04
COL3A1,1.112117e-04
FN1,1.112050e-04
MYF6,1.110984e-04
PRKACA,1.108464e-04
SLC2A4,1.105407e-04
CACNA1S,1.104868e-04
